2020-06-04 09:55:40,835 | koubei_autohome.py | INFO  | 车系：{'I': 2447, 'N': '巴博斯 CLS级'} 口碑数据获取完成!
2020-06-04 09:55:40,837 | koubei_autohome.py | INFO  | 车系：{'I': 2447, 'N': '巴博斯 CLS级'} 获取记录保存成功!
2020-06-04 09:55:40,839 | koubei_autohome.py | INFO  | 车系：{'I': 4261, 'N': '巴博斯 smart forfour'} 口碑数据获取中...
2020-06-04 09:55:40,965 | koubei_autohome.py | INFO  | 车系：{'I': 4261, 'N': '巴博斯 smart forfour'} 口碑数据获取完成!
2020-06-04 09:55:40,966 | koubei_autohome.py | INFO  | 车系：{'I': 4261, 'N': '巴博斯 smart forfour'} 获取记录保存成功!
2020-06-04 09:55:40,968 | koubei_autohome.py | INFO  | 车系：{'I': 2683, 'N': '巴博斯 smart fortwo'} 口碑数据获取中...
2020-06-04 09:55:41,168 | koubei_autohome.py | INFO  | 车系：{'I': 2683, 'N': '巴博斯 smart fortwo'} 口碑数据获取完成!
2020-06-04 09:55:41,170 | koubei_autohome.py | INFO  | 车系：{'I': 2683, 'N': '巴博斯 smart fortwo'} 获取记录保存成功!
2020-06-04 09:55:41,171 | koubei_autohome.py | INFO  | 车系：{'I': 2444, 'N': '巴博斯 S级'} 口碑数据获取中...
2020-06-04 09:55:41,277 | koubei_autohome.py | INFO  | 车系：{'I': 2444, 'N': '巴博斯 S级'} 口碑数据获取完成!
2020-06-04 09:55:41,279 | koubei_autohome.py | INFO  | 车系：{'I': 2444, 'N': '巴博斯 S级'} 获取记录保存成功!
2020-06-04 09:55:41,280 | koubei_autohome.py | INFO  | 车系：{'I': 2575, 'N': '巴博斯 M级(停售)'} 口碑数据获取中...
2020-06-04 09:55:41,394 | koubei_autohome.py | INFO  | 车系：{'I': 2575, 'N': '巴博斯 M级(停售)'} 口碑数据获取完成!
