2020-06-04 11:34:04,008 | model_koubei.py | INFO  | 车系：4502 口碑：2204366 数据获取中...
2020-06-04 11:34:04,064 | model_koubei.py | INFO  | 车系：4502 口碑：2128546 数据获取中...
2020-06-04 11:34:04,261 | model_koubei.py | INFO  | 车系：4502 口碑：2114301 数据获取中...
2020-06-04 11:34:04,313 | model_koubei.py | INFO  | 车系：4502 口碑：2043702 数据获取中...
2020-06-04 11:34:04,364 | model_koubei.py | INFO  | 车系：4502 口碑：1942738 数据获取中...
2020-06-04 11:34:04,523 | model_koubei.py | INFO  | 车系：4502 口碑：1928060 数据获取中...
2020-06-04 11:34:04,574 | model_koubei.py | INFO  | 车系：4502 口碑：1916638 数据获取中...
2020-06-04 11:34:04,624 | model_koubei.py | INFO  | 车系：4502 口碑：1906219 数据获取中...
2020-06-04 11:34:04,686 | model_koubei.py | INFO  | 车系：4502 口碑：1900526 数据获取中...
2020-06-04 11:34:04,739 | model_koubei.py | INFO  | 车系：4502 口碑：1886384 数据获取中...
2020-06-04 11:34:05,043 | model_koubei.py | INFO  | 车系：4502 口碑：1881044 数据获取中...
2020-06-04 11:34:05,586 | model_koubei.py | INFO  | 车系：4502 口碑：2619715 数据获取中...
2020-06-04 11:34:05,833 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据获取中...
2020-06-04 11:34:05,889 | model_koubei.py | INFO  | 车系：4502 口碑：2173874 数据获取中...
2020-06-04 11:34:05,944 | model_koubei.py | INFO  | 车系：4502 口碑：2254636 数据获取中...
2020-06-04 11:34:05,995 | model_koubei.py | INFO  | 车系：4502 口碑：2254455 数据获取中...
2020-06-04 11:34:06,073 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据获取中...
2020-06-04 11:34:06,493 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据获取中...
2020-06-04 11:34:06,559 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据获取中...
2020-06-04 11:34:06,624 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据获取中...
2020-06-04 11:34:06,679 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据获取中...
2020-06-04 11:34:06,745 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据获取中...
2020-06-04 11:34:06,796 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据获取中...
2020-06-04 11:34:06,855 | model_koubei.py | INFO  | 车系：4502 口碑：2176291 数据获取中...
2020-06-04 11:34:06,906 | model_koubei.py | INFO  | 车系：4502 口碑：2095860 数据获取中...
2020-06-04 11:34:07,263 | model_koubei.py | INFO  | 车系：4502 口碑：2090933 数据获取中...
2020-06-04 11:34:07,616 | model_koubei.py | INFO  | 车系：4502 口碑：2037817 数据获取中...
2020-06-04 11:34:07,664 | model_koubei.py | INFO  | 车系：4502 口碑：1845940 数据获取中...
2020-06-04 11:34:07,982 | model_koubei.py | INFO  | 车系：4502 口碑：2012573 数据获取中...
2020-06-04 11:34:08,284 | model_koubei.py | INFO  | 车系：4502 口碑：1953992 数据获取中...
